Entity,Year,Productivity
Australia,2000,40.52187
Australia,2001,42.122478
Australia,2002,42.412212
Australia,2003,43.462162
Australia,2004,44.333633
Australia,2005,45.976162
Australia,2006,46.081429
Australia,2007,45.908466
Australia,2008,47.30357
Australia,2009,47.501831
Australia,2010,50.50304
Australia,2011,52.322773
Australia,2012,52.503056
Australia,2013,53.549725
Australia,2014,
Australia,2015,51.537594
Australia,2016,54.122646
Australia,2017,54.590942
Canada,2000,42.451405
Canada,2001,41.892647
Canada,2002,41.606812
Canada,2003,42.973328
Canada,2004,43.813068
Canada,2005,46.731682
Canada,2006,46.314728
Canada,2007,46.369289
Canada,2008,47.759228
Canada,2009,44.566868
Canada,2010,46.686527
Canada,2011,48.667168
Canada,2012,48.724464
Canada,2013,49.829941
Canada,2014,52.130924
Canada,2015,48.761402
Canada,2016,48.724659
Canada,2017,49.533581
China,2000,3.4473243
China,2001,3.6770813
China,2002,3.9378955
China,2003,4.106883
China,2004,4.3889828
China,2005,4.8437572
China,2006,5.2627792
China,2007,5.7209096
China,2008,6.1198874
China,2009,6.6282911
China,2010,7.5316753
China,2011,8.2591143
China,2012,8.558217
China,2013,
China,2014,9.5472193
China,2015,9.7453976
China,2016,10.073822
China,2017,10.679488
Japan,2000,35.987274
Japan,2001,36.063423
Japan,2002,36.683716
Japan,2003,37.241158
Japan,2004,37.814915
Japan,2005,38.687721
Japan,2006,38.737988
Japan,2007,39.345524
Japan,2008,39.054733
Japan,2009,38.6922
Japan,2010,40.082291
Japan,2011,39.667797
Japan,2012,40.031647
Japan,2013,40.966282
Japan,2014,41.293217
Japan,2015,42.423306
Japan,2016,42.93734
Japan,2017,43.353165
Thailand,2000,5.088522
Thailand,2001,5.4017973
Thailand,2002,5.7476411
Thailand,2003,6.1504655
Thailand,2004,6.4544826
Thailand,2005,7.1672063
Thailand,2006,7.595293
Thailand,2007,7.9467874
Thailand,2008,8.2848186
Thailand,2009,8.0090408
Thailand,2010,9.0369587
Thailand,2011,9.4008026
Thailand,2012,10.307821
Thailand,2013,10.834773
Thailand,2014,11.119384
Thailand,2015,11.716516
Thailand,2016,12.072452
Thailand,2017,12.848203
United States,2000,50.509956
United States,2001,51.485168
United States,2002,52.848087
United States,2003,54.607567
United States,2004,56.122726
United States,2005,57.302429
United States,2006,57.924629
United States,2007,58.592964
United States,2008,59.200611
United States,2009,60.894161
United States,2010,62.596642
United States,2011,62.71867
United States,2012,63.18409
United States,2013,63.722698
United States,2014,64.186951
United States,2015,64.56395
United States,2016,64.715569
United States,2017,65.512207
