Entity,Year,life_expectancy,life_satisfaction,population
Australia,2000,79.592,7.309,18991434
Australia,2001,79.88600000000001,7.309,19194676
Australia,2002,80.17399999999999,7.309,19401366
Australia,2003,80.45100000000001,7.309,19624163
Australia,2004,80.711,7.309,19879654
Australia,2005,80.952,7.309,20178543
Australia,2006,81.17399999999999,7.309,20526300
Australia,2007,81.381,7.309,20916339
Australia,2008,81.577,7.309,21332293
Australia,2009,81.764,7.309,21750852
Australia,2010,81.944,7.309,22154687
Australia,2011,82.119,7.309,22538002
Australia,2012,82.291,7.309,22903951
Australia,2013,82.46,7.309,23254912
Australia,2014,82.62700000000001,7.309,23596426
Australia,2015,82.794,7.309,23932499
Australia,2016,82.959,7.309,24262710
Australia,2017,83.12200000000001,7.309,24584619
Australia,2018,83.281,7.309,24898153
Australia,2019,83.436,7.309,25203200
Australia,2020,83.586,7.309,25499881
Canada,2000,79.118,7.413,30588379
Canada,2001,79.34100000000001,7.413,30880072
Canada,2002,79.567,7.413,31178260
Canada,2003,79.793,7.413,31488046
Canada,2004,80.015,7.413,31815490
Canada,2005,80.235,7.413,32164313
Canada,2006,80.454,7.413,32536994
Canada,2007,80.675,7.413,32930795
Canada,2008,80.89699999999999,7.413,33337638
Canada,2009,81.11399999999999,7.413,33746093
Canada,2010,81.322,7.413,34147566
Canada,2011,81.51,7.413,34539156
Canada,2012,81.67399999999999,7.413,34922031
Canada,2013,81.812,7.413,35296535
Canada,2014,81.927,7.413,35664338
Canada,2015,82.02600000000001,7.413,36026668
Canada,2016,82.117,7.413,36382942
Canada,2017,82.21,7.413,36732091
Canada,2018,82.315,7.413,37074558
Canada,2019,82.434,7.413,37411038
Canada,2020,82.569,7.413,37742157
China,2000,71.39699999999999,5.304,1290550767
China,2001,71.732,5.304,1299129747
China,2002,72.061,5.304,1307352256
China,2003,72.381,5.304,1315303522
China,2004,72.689,5.304,1323084639
China,2005,72.985,5.304,1330776380
China,2006,73.271,5.304,1338408644
China,2007,73.553,5.304,1345993891
China,2008,73.835,5.304,1353569480
China,2009,74.119,5.304,1361169410
China,2010,74.40899999999999,5.304,1368810604
China,2011,74.708,5.304,1376497633
China,2012,75.013,5.304,1384206408
China,2013,75.321,5.304,1391883335
China,2014,75.62899999999999,5.304,1399453966
China,2015,75.928,5.304,1406847868
China,2016,76.21,5.304,1414049353
China,2017,76.47,5.304,1421021794
China,2018,76.704,5.304,1427647789
China,2019,76.91199999999999,5.304,1433783692
China,2020,77.097,5.304,1439323774
Japan,2000,81.171,5.88,127524168
Japan,2001,81.422,5.88,127713824
Japan,2002,81.661,5.88,127893075
Japan,2003,81.883,5.88,128058368
Japan,2004,82.087,5.88,128204183
Japan,2005,82.27,5.88,128326115
Japan,2006,82.431,5.88,128422740
Japan,2007,82.575,5.88,128494050
Japan,2008,82.709,5.88,128538644
Japan,2009,82.838,5.88,128555196
Japan,2010,82.971,5.88,128542349
Japan,2011,83.118,5.88,128498966
Japan,2012,83.28299999999999,5.88,128423571
Japan,2013,83.46700000000001,5.88,128314189
Japan,2014,83.66799999999999,5.88,128168630
Japan,2015,83.87899999999999,5.88,127985139
Japan,2016,84.09,5.88,127763267
Japan,2017,84.29,5.88,127502728
Japan,2018,84.47,5.88,127202190
Japan,2019,84.62899999999999,5.88,126860299
Japan,2020,84.766,5.88,126476458
Thailand,2000,70.623,6.202,62952639
Thailand,2001,70.832,6.202,63539190
Thailand,2002,71.089,6.202,64069093
Thailand,2003,71.389,6.202,64549867
Thailand,2004,71.72800000000001,6.202,64995303
Thailand,2005,72.09899999999999,6.202,65416189
Thailand,2006,72.499,6.202,65812539
Thailand,2007,72.916,6.202,66182064
Thailand,2008,73.34100000000001,6.202,66530979
Thailand,2009,73.766,6.202,66866834
Thailand,2010,74.184,6.202,67195032
Thailand,2011,74.593,6.202,67518379
Thailand,2012,74.992,6.202,67835969
Thailand,2013,75.378,6.202,68144519
Thailand,2014,75.747,6.202,68438748
Thailand,2015,76.09100000000001,6.202,68714519
Thailand,2016,76.403,6.202,68971313
Thailand,2017,76.683,6.202,69209817
Thailand,2018,76.931,6.202,69428454
Thailand,2019,77.15,6.202,69625581
Thailand,2020,77.344,6.202,69799978
United States,2000,76.812,6.864,281710914
United States,2001,76.962,6.864,284607992
United States,2002,77.124,6.864,287279312
United States,2003,77.29899999999999,6.864,289815567
United States,2004,77.486,6.864,292354663
United States,2005,77.685,6.864,294993509
United States,2006,77.892,6.864,297758977
United States,2007,78.101,6.864,300608425
United States,2008,78.303,6.864,303486022
United States,2009,78.49,6.864,306307565
United States,2010,78.652,6.864,309011469
United States,2011,78.777,6.864,311584051
United States,2012,78.862,6.864,314043885
United States,2013,78.90899999999999,6.864,316400539
United States,2014,78.922,6.864,318673422
United States,2015,78.91,6.864,320878312
United States,2016,78.885,6.864,323015992
United States,2017,78.861,6.864,325084758
United States,2018,78.851,6.864,327096263
United States,2019,78.862,6.864,329064917
United States,2020,78.9,6.864,331002647
